Author,Abstract,n_articles
Abdulfatah Osman,S backgroundover a 12month period  adolescent heart  screening programs were performed for identifying at  risk adolescents for sudden cardiac death  scd  in our community  S S novel to our study  all adolescents received an abbreviated  ultraportable echocardiography  upe   in this report S S  we describe the use of upe in this screening programmethods and resultsfour hundred thirty  two adolescents underwent cardiac screening with medical history questionnaire  physical examination  12lead electrocardiogram  ecg   and an abbreviated transthoracic echocardiographic examination  S S there were 11 abnormalities identified with uncertain  varying clinical risk significance  in this population  75 adolescents had a murmur or high ecg voltage  of which only three had subsequent structural abnormalities on echocardiography that may pose risk  S S conversely  upe discovered four adolescents who had a cardiovascular structural abnormality that was not signaled by the 12lead ecg  medical history questionnaire  andor physical examinationconclusionsthe utilization of ultraportable  handheld echocardiography is feasible in large  scale adolescent cardiovascular screening programs  S S upe appears to be useful for finding additional structural abnormalities and for risk  stratifying abnormalities of uncertain potential of adolescents sudden death  S,1
Aiman Khoury,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Andrea Frassetto,S abstractobjectivesthe purpose of this review was to evaluate whether history of periodontitis and smoking habits could represent a risk factor for peri  implantitis and implant lossmaterial and methodsthis systematic review followed prisma guidelines and was registered at the prospero database  registration numbers crd42016034160  effect of history of periodontitis  and crd42016033676  effect of smoking    S S broad electronic  medline  and manual searches were conducted among articles published from january 1st 1990 up to december 31st 2015  resulting in 49332 records for history of periodontitis and 3199 for smoking habits  S S selection criteria included prospective studies comparing two cohorts of patients  with and without the investigated risk factor  with a minimum follow  up period of three years  and reporting data on peri  implantitis and implant loss occurrence  S S considering that only prospective studies were included  dichotomous data were expressed as risk ratios and 95 confidence intervalsresultsthree studies evaluating history of periodontitis  on which quantitative analysis was performed  and one study on smoking effect were included  S S both implant and patient  based meta  analyses revealed a significantly higher risk of developing peri  implantitis in patients with a history of periodontitis compared with periodontally healthy subjects  but not a statistically significant increased risk for implant lossconclusionsthe outcomes of this systematic review indicate history of periodontitis as a possible risk factor for peri  implantitis  while insufficient data are present in literature to evaluate the role of smoking  S S however  available evidence is still weak and immature  and sound epidemiological studies are needed to analyse the specific contribution of these potential risk factors  S,1
Antonio Sanchez,S   background  fetal and neonatal morbidity and mortality are significant problems   in developing countries  remote maternal  fetal monitoring offers promise in addressing this challenge    S S the gary and mary west health institute and the   instituto carlos slim de la salud conducted a demonstration project of wirelessly   enabled antepartum maternal  fetal monitoring in the state of yucatn  mexico    to assess whether there were any fundamental barriers preventing deployment and use    S S methods  following informed consent  high  risk pregnant women at 2729   weeks of gestation at the chemax primary clinic participated in remote maternal  fetal monitoring    S S study participants were randomized to receive either prototype wireless monitoring or standard  of  care    S S feasibility was evaluated by assessing technical aspects of performance  adherence to monitoring   appointments  and response to recommendations  S S results  S S data were collected from   153 high  risk pregnant indigenous mayan women receiving either remote monitoring  n  74  or usual standard  of  care  n  79   S S remote monitoring resulted in markedly increased adherence  943 versus 451     S S health outcomes were not statistically different in the two groups    conclusions  S S remote maternal  fetal monitoring is   feasible in resource  constrained environments and can improve   maternal compliance for monitoring sessions  S S improvement in maternal  fetal health outcomes   requires integration of such technology into sociocultural context and addressing   logistical challenges of access to appropriate emergency services  S,1
Bo Jin,S background  although pedicle screw placement  psp  is a well  established technique for spine surgery  the treatment of patients with primary invasive spinal tumor  pist  has high surgical risks secondary to destroyed pedicles  S S intraoperative three  dimensional fluoroscopy  based navigation  itfn  system permits safe and accurate instrumentation of the spine with the advantage of obtaining intraoperative real  time three  dimensional images and automatic registration  S S the aim of this study is to evaluate the feasibility and accuracy of psp using itfn system for patients afflicted with pist in the thoracic spinemethodsfiftyone patients diagnosed with pists were retrospectively analyzed  and 157 pedicles screws were implanted in 23 patients using the free  hand technique  free  hand group  and 197 pedicle screws were implanted in 28 patients using the itfn system  itfn group   S S modified classification of gertzbein and robbins was used to evaluate the accuracy of psp  and mccormick classification was applied for assessment of neurological function  S S demographic data and factors affecting accuracy of screw insertion were compared using independent t  test while comparison of accuracy of screw insertion between the two groups was analyzed with chi  square testresultsof 51 patients  39 demonstrated improved neurological status and the other 12 patients reported that symptoms remained the same  in the free  hand group  145 screws  924  were grade i  9 screws  57  were grade ii  and 3 screws  19  were grade iii  in the itfn group  192 screws  974  were grade i  5 screws  26  were grade ii  and no grade iii screw was detected  S S statistical analysis showed that the accuracies of pedicle screws in the two groups are significantly different  2  4981  p  0026conclusions  the treatments of pists include total tumor resection and reconstruction of spine stability  S S the itfn system provides a high accuracy of pedicle screw placement  S,1
Carlos Meier,S   background  fetal and neonatal morbidity and mortality are significant problems   in developing countries  remote maternal  fetal monitoring offers promise in addressing this challenge    S S the gary and mary west health institute and the   instituto carlos slim de la salud conducted a demonstration project of wirelessly   enabled antepartum maternal  fetal monitoring in the state of yucatn  mexico    to assess whether there were any fundamental barriers preventing deployment and use    S S methods  following informed consent  high  risk pregnant women at 2729   weeks of gestation at the chemax primary clinic participated in remote maternal  fetal monitoring    S S study participants were randomized to receive either prototype wireless monitoring or standard  of  care    S S feasibility was evaluated by assessing technical aspects of performance  adherence to monitoring   appointments  and response to recommendations  S S results  S S data were collected from   153 high  risk pregnant indigenous mayan women receiving either remote monitoring  n  74  or usual standard  of  care  n  79   S S remote monitoring resulted in markedly increased adherence  943 versus 451     S S health outcomes were not statistically different in the two groups    conclusions  S S remote maternal  fetal monitoring is   feasible in resource  constrained environments and can improve   maternal compliance for monitoring sessions  S S improvement in maternal  fetal health outcomes   requires integration of such technology into sociocultural context and addressing   logistical challenges of access to appropriate emergency services  S,1
Carsten Forthmann,S nanometer  sized polyhedral wire  frame objects hold a wide range of potential applications both as structural scaffolds as well as a basis for synthetic nanocontainers  S S the utilization of dna as basic building blocks for such structures allows the exploitation of bottom  up self  assembly in order to achieve molecular programmability through the pairing of complementary bases  in this work S S  we report on a hollow but rigid tetrahedron framework of 75  nm strut length constructed with the dna origami method    S S flexible hinges at each of their four joints provide a means for structural variability of the object  through the opening of gaps along the struts  four variants can be created as confirmed by both gel electrophoresis and direct imaging techniques  S S the intrinsic site addressability provided by this technique allows the unique targeted attachment of dye andor linker molecules at any point on the structure s surface  which we prove through the superresolution fluorescence microscopy technique dna paint  S,1
Catherine L Drennan,S cytc3  a member of the recently discovered class of nonheme feii  and ketoglutarate  kgdependent halogenases  catalyzes the double chlorination of l2aminobutyric acid  aba  to produce a known streptomyces antibiotic  dichloroaminobutyrate  unlike the majority of the feiikg  dependent enzymes that catalyze hydroxylation reactions  halogenases catalyze a transfer of halides  to examine the important enzymatic features that discriminate between chlorination and hydroxylation  the crystal structures of cytc3 both with and without kg  feii  have been solved to 22  resolution  S S these structures capture cytc3 in an open active site conformation  in which no chloride is bound to iron  S S comparison of the open conformation of cytc3 with the closed conformation of another nonheme iron halogenase  syrb2  suggests two important criteria for creating an enzyme  bound fe  S S cl catalyst   1  the presence of a hydrogen  bonding network between the chloride and surrounding residues  and  2  the presence of a hydrophobic pocket in which the chloride resides  S,1
Christopher T Walsh,S cytc3  a member of the recently discovered class of nonheme feii  and ketoglutarate  kgdependent halogenases  catalyzes the double chlorination of l2aminobutyric acid  aba  to produce a known streptomyces antibiotic  dichloroaminobutyrate  unlike the majority of the feiikg  dependent enzymes that catalyze hydroxylation reactions  halogenases catalyze a transfer of halides  to examine the important enzymatic features that discriminate between chlorination and hydroxylation  the crystal structures of cytc3 both with and without kg  feii  have been solved to 22  resolution  S S these structures capture cytc3 in an open active site conformation  in which no chloride is bound to iron  S S comparison of the open conformation of cytc3 with the closed conformation of another nonheme iron halogenase  syrb2  suggests two important criteria for creating an enzyme  bound fe  S S cl catalyst   1  the presence of a hydrogen  bonding network between the chloride and surrounding residues  and  2  the presence of a hydrophobic pocket in which the chloride resides  S,1
Cintyu Wong,S cytc3  a member of the recently discovered class of nonheme feii  and ketoglutarate  kgdependent halogenases  catalyzes the double chlorination of l2aminobutyric acid  aba  to produce a known streptomyces antibiotic  dichloroaminobutyrate  unlike the majority of the feiikg  dependent enzymes that catalyze hydroxylation reactions  halogenases catalyze a transfer of halides  to examine the important enzymatic features that discriminate between chlorination and hydroxylation  the crystal structures of cytc3 both with and without kg  feii  have been solved to 22  resolution  S S these structures capture cytc3 in an open active site conformation  in which no chloride is bound to iron  S S comparison of the open conformation of cytc3 with the closed conformation of another nonheme iron halogenase  syrb2  suggests two important criteria for creating an enzyme  bound fe  S S cl catalyst   1  the presence of a hydrogen  bonding network between the chloride and surrounding residues  and  2  the presence of a hydrophobic pocket in which the chloride resides  S,1
